consultation_id,lead_id,consult_date,counselor_id,result
C00635,L00994,2025-07-29,CS03,진행
C00636,L00996,2025-07-18,CS04,거절
C00637,L01000,2025-07-21,CS01,진행
C00638,L01002,2025-07-11,CS01,진행
C00639,L01003,2025-08-01,CS08,거절
C00640,L01006,2025-07-28,CS02,진행
C00641,L01007,2025-07-12,CS07,진행
C00642,L01008,2025-07-21,CS05,거절
C00643,L01009,2025-07-05,CS07,진행
C00644,L01010,2025-07-30,CS05,진행
C00645,L01011,2025-07-27,CS02,거절
C00646,L01013,2025-07-08,CS01,거절
C00647,L01014,2025-07-16,CS03,진행
C00648,L01015,2025-07-30,CS02,보류
C00649,L01016,2025-07-10,CS06,진행
C00650,L01017,2025-07-13,CS08,보류
C00651,L01018,2025-07-10,CS08,진행
C00652,L01019,2025-07-26,CS01,진행
C00653,L01020,2025-07-03,CS07,진행
C00654,L01021,2025-07-20,CS04,진행
C00655,L01022,2025-07-19,CS01,진행
C00656,L01023,2025-07-07,CS01,진행
C00657,L01024,2025-08-01,CS07,진행
C00658,L01025,2025-07-14,CS02,거절
C00659,L01026,2025-07-17,CS08,진행
C00660,L01027,2025-07-06,CS01,진행
C00661,L01028,2025-07-27,CS03,진행
C00662,L01029,2025-07-12,CS08,진행
C00663,L01030,2025-07-05,CS04,진행
C00664,L01031,2025-07-05,CS01,보류
C00665,L01033,2025-07-24,CS04,진행
C00666,L01036,2025-08-30,CS04,진행
C00667,L01038,2025-08-08,CS04,진행
C00668,L01040,2025-08-28,CS03,진행
C00669,L01041,2025-08-06,CS05,진행
C00670,L01044,2025-08-26,CS02,진행
C00671,L01046,2025-08-15,CS07,진행
C00672,L01048,2025-08-05,CS06,진행
C00673,L01050,2025-08-14,CS07,진행
C00674,L01051,2025-08-24,CS04,진행
C00675,L01053,2025-08-26,CS02,진행
C00676,L01058,2025-08-29,CS04,보류
C00677,L01060,2025-08-26,CS05,진행
C00678,L01061,2025-08-18,CS06,진행
C00679,L01062,2025-08-25,CS03,보류
C00680,L01065,2025-08-10,CS06,진행
C00681,L01066,2025-08-18,CS05,진행
C00682,L01070,2025-08-22,CS07,진행
C00683,L01075,2025-08-27,CS01,거절
C00684,L01076,2025-08-21,CS05,진행
C00685,L01077,2025-08-03,CS06,진행
C00686,L01078,2025-08-16,CS02,진행
C00687,L01085,2025-08-09,CS02,진행
C00688,L01087,2025-08-29,CS05,진행
C00689,L01088,2025-08-04,CS04,진행
C00690,L01090,2025-08-15,CS04,보류
C00691,L01091,2025-08-29,CS01,보류
C00692,L01092,2025-08-06,CS02,진행
C00693,L01094,2025-08-25,CS07,진행
C00694,L01095,2025-08-29,CS07,진행
C00695,L01096,2025-08-08,CS04,진행
C00696,L01097,2025-08-14,CS07,진행
C00697,L01098,2025-08-26,CS08,보류
C00698,L01100,2025-08-23,CS01,진행
C00699,L01101,2025-08-18,CS01,진행
C00700,L01103,2025-08-12,CS01,진행
C00701,L01104,2025-08-06,CS06,거절
C00702,L01107,2025-08-16,CS04,진행
C00703,L01108,2025-08-05,CS02,진행
C00704,L01109,2025-08-26,CS07,보류
C00705,L01110,2025-08-21,CS01,진행
C00706,L01112,2025-08-25,CS07,진행
C00707,L01114,2025-08-20,CS05,진행
C00708,L01115,2025-08-12,CS02,진행
C00709,L01116,2025-08-31,CS01,진행
C00710,L01119,2025-08-03,CS07,진행
C00711,L01120,2025-09-06,CS06,진행
C00712,L01122,2025-09-11,CS01,진행
C00713,L01123,2025-09-20,CS08,진행
C00714,L01124,2025-09-22,CS05,거절
C00715,L01129,2025-10-01,CS08,보류
C00716,L01131,2025-09-15,CS03,보류
C00717,L01133,2025-09-26,CS06,진행
C00718,L01134,2025-09-08,CS01,진행
C00719,L01135,2025-09-11,CS04,진행
C00720,L01136,2025-09-16,CS05,진행
C00721,L01137,2025-09-16,CS03,진행
C00722,L01139,2025-09-21,CS07,거절
C00723,L01140,2025-09-17,CS05,진행
C00724,L01141,2025-09-25,CS06,진행
C00725,L01143,2025-09-26,CS05,진행
C00726,L01144,2025-09-15,CS05,진행
C00727,L01145,2025-09-05,CS01,진행
C00728,L01148,2025-09-04,CS04,진행
C00729,L01149,2025-09-16,CS05,진행
C00730,L01152,2025-09-30,CS04,진행
C00731,L01153,2025-09-15,CS08,진행
C00732,L01154,2025-09-30,CS02,진행
C00733,L01155,2025-09-16,CS02,진행
C00734,L01157,2025-09-12,CS08,거절
C00735,L01158,2025-09-30,CS04,진행
C00736,L01161,2025-09-25,CS08,진행
C00737,L01162,2025-09-08,CS07,거절
C00738,L01163,2025-09-17,CS02,진행
C00739,L01165,2025-09-11,CS05,진행
C00740,L01166,2025-09-24,CS03,진행
C00741,L01167,2025-09-18,CS03,진행
C00742,L01169,2025-09-23,CS05,거절
C00743,L01170,2025-09-13,CS04,거절
C00744,L01171,2025-09-27,CS06,보류
C00745,L01172,2025-09-08,CS06,진행
C00746,L01175,2025-09-06,CS07,거절
C00747,L01178,2025-09-08,CS07,진행
C00748,L01179,2025-09-23,CS02,진행
C00749,L01180,2025-09-29,CS01,진행
C00750,L01182,2025-09-10,CS02,진행
C00751,L01183,2025-09-09,CS04,거절
C00752,L01184,2025-09-23,CS02,보류
C00753,L01185,2025-09-07,CS03,진행
C00754,L01186,2025-09-23,CS05,진행
C00755,L01187,2025-09-26,CS01,진행
C00756,L01188,2025-09-11,CS07,진행
C00757,L01190,2025-09-04,CS07,진행
C00758,L01196,2025-09-21,CS02,진행
C00759,L01197,2025-09-23,CS01,거절
C00760,L01198,2025-09-18,CS07,진행
C00761,L01199,2025-10-17,CS05,보류
C00762,L01201,2025-10-11,CS01,진행
C00763,L01203,2025-10-18,CS06,진행
C00764,L01205,2025-10-28,CS06,진행
C00765,L01206,2025-10-27,CS06,진행
C00766,L01207,2025-10-12,CS01,진행
C00767,L01210,2025-10-02,CS06,진행
C00768,L01211,2025-10-22,CS03,진행
C00769,L01212,2025-10-23,CS04,진행
C00770,L01213,2025-10-12,CS02,진행
C00771,L01214,2025-10-21,CS04,진행
C00772,L01215,2025-10-28,CS05,거절
C00773,L01217,2025-10-07,CS03,진행
C00774,L01218,2025-10-09,CS02,진행
C00775,L01220,2025-10-11,CS01,거절
C00776,L01222,2025-10-09,CS01,진행
C00777,L01224,2025-10-26,CS02,거절
C00778,L01225,2025-10-05,CS02,진행
C00779,L01227,2025-10-09,CS06,진행
C00780,L01228,2025-10-23,CS05,진행
C00781,L01229,2025-10-16,CS06,진행
C00782,L01230,2025-10-14,CS03,보류
C00783,L01231,2025-10-08,CS08,보류
C00784,L01232,2025-10-26,CS03,진행
C00785,L01234,2025-10-15,CS05,진행
C00786,L01236,2025-10-30,CS01,진행
C00787,L01237,2025-10-23,CS07,거절
C00788,L01239,2025-10-13,CS02,진행
C00789,L01241,2025-10-23,CS01,진행
C00790,L01242,2025-10-22,CS02,거절
C00791,L01243,2025-10-24,CS06,진행
C00792,L01244,2025-10-11,CS05,진행
C00793,L01245,2025-10-12,CS06,진행
C00794,L01246,2025-10-08,CS04,진행
C00795,L01247,2025-10-18,CS05,진행
C00796,L01248,2025-10-04,CS02,진행
C00797,L01251,2025-10-15,CS05,보류
C00798,L01252,2025-11-01,CS06,진행
C00799,L01253,2025-10-06,CS04,진행
C00800,L01254,2025-10-22,CS02,진행
C00801,L01255,2025-10-10,CS05,거절
C00802,L01256,2025-10-13,CS08,진행
C00803,L01257,2025-10-26,CS01,진행
C00804,L01258,2025-10-03,CS04,진행
C00805,L01261,2025-10-06,CS03,진행
C00806,L01263,2025-10-09,CS03,진행
C00807,L01265,2025-10-25,CS06,진행
C00808,L01266,2025-10-15,CS07,진행
C00809,L01269,2025-10-08,CS01,진행
C00810,L01270,2025-10-29,CS06,진행
C00811,L01271,2025-10-09,CS07,진행
C00812,L01276,2025-11-20,CS08,거절
C00813,L01277,2025-11-07,CS04,진행
C00814,L01279,2025-11-29,CS04,진행
C00815,L01280,2025-11-18,CS02,진행
C00816,L01284,2025-11-21,CS07,보류
C00817,L01285,2025-11-12,CS04,진행
C00818,L01288,2025-11-07,CS03,진행
C00819,L01289,2025-11-10,CS03,진행
C00820,L01290,2025-11-13,CS07,진행
C00821,L01292,2025-11-11,CS05,진행
C00822,L01298,2025-11-18,CS08,거절
C00823,L01299,2025-11-05,CS08,진행
C00824,L01300,2025-11-17,CS02,보류
C00825,L01301,2025-11-11,CS06,진행
C00826,L01302,2025-11-30,CS07,진행
C00827,L01303,2025-11-22,CS02,보류
C00828,L01304,2025-11-21,CS07,진행
C00829,L01305,2025-11-07,CS03,진행
C00830,L01306,2025-11-13,CS04,진행
C00831,L01307,2025-11-05,CS01,진행
C00832,L01308,2025-11-06,CS02,진행
C00833,L01310,2025-11-04,CS07,진행
C00834,L01314,2025-11-18,CS02,진행
C00835,L01315,2025-11-28,CS05,보류
C00836,L01316,2025-12-01,CS06,진행
C00837,L01317,2025-11-17,CS02,진행
C00838,L01320,2025-11-22,CS02,진행
C00839,L01322,2025-11-06,CS01,진행
C00840,L01324,2025-11-27,CS04,진행
C00841,L01325,2025-11-26,CS08,진행
C00842,L01327,2025-11-06,CS02,진행
C00843,L01329,2025-11-25,CS03,진행
C00844,L01330,2025-11-10,CS01,거절
C00845,L01331,2025-11-07,CS08,진행
C00846,L01333,2025-11-28,CS05,보류
C00847,L01335,2025-11-03,CS08,진행
C00848,L01336,2025-11-11,CS07,진행
C00849,L01339,2025-11-27,CS03,보류
C00850,L01340,2025-11-20,CS06,진행
C00851,L01341,2025-11-15,CS08,보류
C00852,L01342,2025-11-06,CS06,진행
C00853,L01343,2025-11-02,CS04,진행
C00854,L01344,2025-11-07,CS01,진행
C00855,L01345,2025-11-17,CS07,진행
C00856,L01348,2025-11-19,CS03,진행
C00857,L01350,2025-12-10,CS06,진행
C00858,L01351,2025-12-10,CS03,진행
C00859,L01352,2025-12-22,CS05,진행
C00860,L01353,2025-12-16,CS05,거절
C00861,L01354,2025-12-20,CS02,거절
C00862,L01357,2025-12-22,CS08,보류
C00863,L01358,2025-12-06,CS05,거절
C00864,L01360,2025-12-13,CS08,진행
C00865,L01361,2025-12-05,CS06,진행
C00866,L01363,2025-12-13,CS01,진행
C00867,L01364,2025-12-09,CS06,거절
C00868,L01366,2025-12-28,CS07,진행
C00869,L01367,2025-12-25,CS06,진행
C00870,L01368,2025-12-06,CS05,보류
C00871,L01371,2025-12-04,CS05,진행
C00872,L01372,2025-12-27,CS02,거절
C00873,L01376,2025-12-29,CS03,진행
C00874,L01378,2025-12-25,CS03,진행
C00875,L01379,2025-12-22,CS04,거절
C00876,L01380,2025-12-24,CS04,진행
C00877,L01381,2025-12-24,CS02,진행
C00878,L01383,2025-12-13,CS03,보류
C00879,L01384,2025-12-19,CS04,진행
C00880,L01385,2025-12-11,CS07,진행
C00881,L01386,2025-12-18,CS04,진행
C00882,L01387,2025-12-20,CS06,진행
C00883,L01392,2025-12-06,CS05,진행
C00884,L01393,2025-12-13,CS02,진행
C00885,L01395,2025-12-31,CS03,진행
C00886,L01396,2025-12-25,CS03,진행
C00887,L01397,2025-12-17,CS07,진행
C00888,L01398,2025-12-09,CS08,진행
C00889,L01399,2025-12-16,CS02,보류
C00890,L01400,2025-12-28,CS01,진행
C00891,L01401,2025-12-25,CS07,진행
C00892,L01405,2025-12-29,CS01,진행
C00893,L01407,2025-12-21,CS06,진행
C00894,L01409,2025-12-10,CS01,진행
C00895,L01410,2025-12-10,CS02,진행
C00896,L01411,2025-12-08,CS06,진행
C00897,L01414,2025-12-28,CS02,진행
C00898,L01415,2025-12-10,CS07,진행
C00899,L01417,2025-12-16,CS07,진행
C00900,L01419,2025-12-12,CS08,진행
C00901,L01420,2026-01-01,CS01,진행
C00902,L01421,2025-12-11,CS04,진행
C00903,L01422,2025-12-12,CS07,진행
C00904,L01423,2025-12-10,CS07,진행
C00905,L01425,2025-12-09,CS07,진행
C00906,L01426,2025-12-05,CS02,진행
C00907,L01427,2025-12-13,CS07,진행
C00908,L01429,2025-12-12,CS04,진행
C00909,L01430,2025-12-13,CS01,거절
C00910,L01432,2024-12-09,CS06,진행
C00911,L01433,2024-12-13,CS03,진행
C00912,L01434,2025-11-05,CS07,진행
C00913,L01436,2024-08-14,CS05,보류
C00914,L01437,2025-08-18,CS05,진행
C00915,L01438,2025-05-23,CS08,진행
C00916,L01440,2024-07-17,CS08,진행
C00917,L01441,2025-05-25,CS07,보류
C00918,L01442,2024-09-17,CS06,진행
C00919,L01445,2025-10-18,CS02,진행
C00920,L01447,2024-12-13,CS05,진행
C00921,L01448,2025-12-04,CS07,진행
C00922,L01449,2025-09-23,CS08,진행
C00923,L01450,2025-01-10,CS05,거절
C00924,L01451,2025-09-22,CS05,진행
C00925,L01452,2024-12-27,CS06,진행
C00926,L01453,2024-11-04,CS08,진행
C00927,L01454,2024-06-17,CS03,보류
C00928,L01455,2025-11-10,CS02,진행
C00929,L01458,2025-12-08,CS06,진행
